id,genre,Popularity,Song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,seconds
2HhzV3FY4eZGueF0KpXZUo,chill,74.0,EMPTY DREAMS,0.778,0.782,G,-5.07,Major,0.152,0.5,0.93,0.426,0.446,160.05,audio_features,spotify:track:2HhzV3FY4eZGueF0KpXZUo,https://api.spotify.com/v1/tracks/2HhzV3FY4eZGueF0KpXZUo,https://api.spotify.com/v1/audio-analysis/2HhzV3FY4eZGueF0KpXZUo,135000,4/4,135.0
4V0x90QcMh4ZxwHzEWOdtK,chill,66.0,Feel It All Around,0.34,0.737,G#A,-4.681,Major,0.0582,0.000105,0.762,0.0699,0.499,172.022,audio_features,spotify:track:4V0x90QcMh4ZxwHzEWOdtK,https://api.spotify.com/v1/tracks/4V0x90QcMh4ZxwHzEWOdtK,https://api.spotify.com/v1/audio-analysis/4V0x90QcMh4ZxwHzEWOdtK,192080,4/4,192.08
1LeItUMezKA1HdCHxYICed,chill,66.0,Say My Name,0.749,0.745,F#G,-7.367,Minor,0.0479,0.0041,0.395,0.0748,0.347,115.048,audio_features,spotify:track:1LeItUMezKA1HdCHxYICed,https://api.spotify.com/v1/tracks/1LeItUMezKA1HdCHxYICed,https://api.spotify.com/v1/audio-analysis/1LeItUMezKA1HdCHxYICed,262957,4/4,262.957
7jZHUhAmW5oq1cq6s8IxmK,chill,67.0,Sun Models,0.683,0.481,G#A,-9.174,Minor,0.075,0.191,0.736,0.0907,0.47,120.001,audio_features,spotify:track:7jZHUhAmW5oq1cq6s8IxmK,https://api.spotify.com/v1/tracks/7jZHUhAmW5oq1cq6s8IxmK,https://api.spotify.com/v1/audio-analysis/7jZHUhAmW5oq1cq6s8IxmK,160000,4/4,160.0
4KlL5Bwlm4yHYxr0B2rHci,chill,76.0,Heal,0.445,0.179,C#D,-12.938,Major,0.0396,0.952,0.00056,0.107,0.119,72.246,audio_features,spotify:track:4KlL5Bwlm4yHYxr0B2rHci,https://api.spotify.com/v1/tracks/4KlL5Bwlm4yHYxr0B2rHci,https://api.spotify.com/v1/audio-analysis/4KlL5Bwlm4yHYxr0B2rHci,193080,4/4,193.08
7ivYWXqrPLs66YwakDuSim,chill,73.0,like i need u,0.748,0.465,F,-8.163,Major,0.0869,0.399,0.0,0.294,0.412,119.872,audio_features,spotify:track:7ivYWXqrPLs66YwakDuSim,https://api.spotify.com/v1/tracks/7ivYWXqrPLs66YwakDuSim,https://api.spotify.com/v1/audio-analysis/7ivYWXqrPLs66YwakDuSim,182679,4/4,182.679
59wlTaYOL5tDUgXnbBQ3my,chill,68.0,A Moment Apart,0.515,0.663,G,-7.896,Minor,0.0328,0.179,0.668,0.494,0.0756,120.024,audio_features,spotify:track:59wlTaYOL5tDUgXnbBQ3my,https://api.spotify.com/v1/tracks/59wlTaYOL5tDUgXnbBQ3my,https://api.spotify.com/v1/audio-analysis/59wlTaYOL5tDUgXnbBQ3my,234244,4/4,234.244
7F6PtLP6fJPVtA1FWVkl8K,chill,75.0,Shouldn't Be,0.647,0.294,F#G,-10.344,Minor,0.0312,0.728,0.0,0.123,0.323,124.999,audio_features,spotify:track:7F6PtLP6fJPVtA1FWVkl8K,https://api.spotify.com/v1/tracks/7F6PtLP6fJPVtA1FWVkl8K,https://api.spotify.com/v1/audio-analysis/7F6PtLP6fJPVtA1FWVkl8K,210480,3/4,210.48
5e2l2ZAMwHmrkdM4Z6NhAR,chill,72.0,Again,0.603,0.204,G,-12.727,Minor,0.112,0.479,0.0714,0.642,0.71,74.688,audio_features,spotify:track:5e2l2ZAMwHmrkdM4Z6NhAR,https://api.spotify.com/v1/tracks/5e2l2ZAMwHmrkdM4Z6NhAR,https://api.spotify.com/v1/audio-analysis/5e2l2ZAMwHmrkdM4Z6NhAR,157206,5/4,157.206
3iqlzKw1tLt6tXZyKWV0fZ,chill,70.0,SOMEBODY,0.649,0.461,G#A,-8.401,Major,0.0449,0.442,0.0,0.108,0.487,141.088,audio_features,spotify:track:3iqlzKw1tLt6tXZyKWV0fZ,https://api.spotify.com/v1/tracks/3iqlzKw1tLt6tXZyKWV0fZ,https://api.spotify.com/v1/audio-analysis/3iqlzKw1tLt6tXZyKWV0fZ,164663,4/4,164.663
5SlU0Yhi51jobhEiGE4xDv,chill,72.0,2 soon,0.517,0.663,F#G,-6.688,Minor,0.0375,0.146,0.0,0.322,0.146,174.032,audio_features,spotify:track:5SlU0Yhi51jobhEiGE4xDv,https://api.spotify.com/v1/tracks/5SlU0Yhi51jobhEiGE4xDv,https://api.spotify.com/v1/audio-analysis/5SlU0Yhi51jobhEiGE4xDv,206512,4/4,206.512
1Y5MJnYsIi3Qlifvss4jPI,chill,74.0,Twilight,0.889,0.884,E,-4.323,Major,0.0379,0.0111,0.804,0.0999,0.789,124.003,audio_features,spotify:track:1Y5MJnYsIi3Qlifvss4jPI,https://api.spotify.com/v1/tracks/1Y5MJnYsIi3Qlifvss4jPI,https://api.spotify.com/v1/audio-analysis/1Y5MJnYsIi3Qlifvss4jPI,116129,4/4,116.129
6v5vr3SqSczkqIIVeW8RjZ,chill,65.0,Never Be Alright,0.835,0.284,G,-10.121,Minor,0.0778,0.631,3.96e-06,0.102,0.286,86.982,audio_features,spotify:track:6v5vr3SqSczkqIIVeW8RjZ,https://api.spotify.com/v1/tracks/6v5vr3SqSczkqIIVeW8RjZ,https://api.spotify.com/v1/audio-analysis/6v5vr3SqSczkqIIVeW8RjZ,168308,4/4,168.308
5OLfObog5za3O71jQgZFsB,chill,65.0,Wide Awake,0.616,0.886,F#G,-5.436,Minor,0.0416,0.163,0.0517,0.129,0.0694,124.987,audio_features,spotify:track:5OLfObog5za3O71jQgZFsB,https://api.spotify.com/v1/tracks/5OLfObog5za3O71jQgZFsB,https://api.spotify.com/v1/audio-analysis/5OLfObog5za3O71jQgZFsB,215039,4/4,215.039
4aJnMRNeuDZSQN7FaSNGtM,chill,64.0,How Did I Get Here,0.707,0.579,C,-6.198,Minor,0.0293,0.384,0.72,0.408,0.357,96.062,audio_features,spotify:track:4aJnMRNeuDZSQN7FaSNGtM,https://api.spotify.com/v1/tracks/4aJnMRNeuDZSQN7FaSNGtM,https://api.spotify.com/v1/audio-analysis/4aJnMRNeuDZSQN7FaSNGtM,131250,4/4,131.25
